3, 2, 1 .. GO!
Horse 15 starts.
Horse 9 starts.
Horse 12 starts.
Horse 16 starts.
Horse 10 starts.
Horse 8 starts.
Horse 19 starts.
Horse 11 starts.
Horse 2 starts.
Horse 1 starts.
Horse 0 starts.
Horse 13 starts.
Horse 4 starts.
Horse 14 starts.
Horse 7 starts.
Horse 18 starts.
Horse 3 starts.
Horse 6 starts.
Horse 5 starts.
Horse 17 starts.
Horse: 3, Lane: 13, Position: 20, Lap: 0
Horse: 15, Lane: 13, Position: 28, Lap: 0
Horse: 2, Lane: 1, Position: 26, Lap: 0
Horse: 8, Lane: 2, Position: 21, Lap: 0
Horse: 11, Lane: 11, Position: 26, Lap: 0
Horse: 12, Lane: 17, Position: 29, Lap: 0
Horse: 14, Lane: 10, Position: 26, Lap: 0
Horse: 4, Lane: 6, Position: 24, Lap: 0
Horse: 6, Lane: 4, Position: 22, Lap: 0
Horse: 13, Lane: 5, Position: 21, Lap: 0
Horse: 5, Lane: 5, Position: 19, Lap: 0
Horse: 1, Lane: 9, Position: 24, Lap: 0
Horse: 7, Lane: 5, Position: 24, Lap: 0
Horse: 17, Lane: 15, Position: 24, Lap: 0
Horse: 9, Lane: 14, Position: 23, Lap: 0
Horse: 16, Lane: 3, Position: 25, Lap: 0
Horse: 18, Lane: 13, Position: 25, Lap: 0
Horse: 0, Lane: 7, Position: 18, Lap: 0
Horse: 10, Lane: 7, Position: 23, Lap: 0
Horse: 15, Lane: 14, Position: 29, Lap: 0
Horse: 3, Lane: 12, Position: 21, Lap: 0
Horse: 19, Lane: 0, Position: 24, Lap: 0
Horse: 2, Lane: 0, Position: 27, Lap: 0
Horse: 8, Lane: 3, Position: 22, Lap: 0
Horse: 11, Lane: 10, Position: 27, Lap: 0
Horse: 12, Lane: 18, Position: 30, Lap: 0
Horse: 14, Lane: 10, Position: 28, Lap: 0
Horse: 4, Lane: 7, Position: 25, Lap: 0
Horse: 5, Lane: 6, Position: 20, Lap: 0
Horse: 6, Lane: 4, Position: 24, Lap: 0
Horse: 13, Lane: 4, Position: 22, Lap: 0
Horse: 1, Lane: 9, Position: 26, Lap: 0
Horse: 7, Lane: 6, Position: 25, Lap: 0
Horse: 9, Lane: 14, Position: 25, Lap: 0
Horse: 17, Lane: 15, Position: 26, Lap: 0
Horse: 16, Lane: 4, Position: 26, Lap: 0
Horse: 18, Lane: 12, Position: 26, Lap: 0
Horse: 10, Lane: 8, Position: 24, Lap: 0
Horse: 15, Lane: 13, Position: 30, Lap: 0
Horse: 2, Lane: 0, Position: 28, Lap: 0
Horse: 8, Lane: 2, Position: 23, Lap: 0
Horse: 3, Lane: 12, Position: 23, Lap: 0
Horse: 19, Lane: 1, Position: 25, Lap: 0
Horse: 0, Lane: 7, Position: 20, Lap: 0
Horse: 11, Lane: 10, Position: 29, Lap: 0
Horse: 12, Lane: 17, Position: 31, Lap: 0
Horse: 14, Lane: 10, Position: 30, Lap: 0
Horse: 4, Lane: 7, Position: 27, Lap: 0
Horse: 5, Lane: 7, Position: 21, Lap: 0
Horse: 13, Lane: 3, Position: 23, Lap: 0
Horse: 1, Lane: 8, Position: 27, Lap: 0
Horse: 7, Lane: 7, Position: 26, Lap: 0
Horse: 9, Lane: 13, Position: 26, Lap: 0
Horse: 17, Lane: 14, Position: 27, Lap: 0
Horse: 16, Lane: 3, Position: 27, Lap: 0
Horse: 18, Lane: 11, Position: 27, Lap: 0
Horse: 6, Lane: 4, Position: 26, Lap: 0
Horse: 10, Lane: 8, Position: 26, Lap: 0
Horse: 2, Lane: 0, Position: 29, Lap: 0
Horse: 8, Lane: 1, Position: 24, Lap: 0
Horse: 3, Lane: 13, Position: 24, Lap: 0
Horse: 15, Lane: 13, Position: 32, Lap: 0
Horse: 0, Lane: 6, Position: 21, Lap: 0
Horse: 19, Lane: 2, Position: 26, Lap: 0
Horse: 11, Lane: 9, Position: 30, Lap: 0
Horse: 12, Lane: 18, Position: 32, Lap: 0
Horse: 14, Lane: 11, Position: 31, Lap: 0
Horse: 4, Lane: 7, Position: 29, Lap: 0
Horse: 5, Lane: 8, Position: 22, Lap: 0
Horse: 13, Lane: 4, Position: 24, Lap: 0
Horse: 1, Lane: 7, Position: 28, Lap: 0
Horse: 9, Lane: 12, Position: 27, Lap: 0
Horse: 17, Lane: 14, Position: 29, Lap: 0
Horse: 18, Lane: 11, Position: 29, Lap: 0
Horse: 16, Lane: 4, Position: 28, Lap: 0
Horse: 10, Lane: 9, Position: 27, Lap: 0
Horse: 2, Lane: 1, Position: 30, Lap: 0
Horse: 3, Lane: 12, Position: 25, Lap: 0
Horse: 8, Lane: 2, Position: 25, Lap: 0
Horse: 15, Lane: 12, Position: 33, Lap: 0
Horse: 19, Lane: 1, Position: 27, Lap: 0
Horse: 0, Lane: 5, Position: 22, Lap: 0
Horse: 11, Lane: 8, Position: 31, Lap: 0
Horse: 12, Lane: 18, Position: 34, Lap: 0
Horse: 14, Lane: 11, Position: 33, Lap: 0
Horse: 4, Lane: 7, Position: 31, Lap: 0
Horse: 5, Lane: 8, Position: 24, Lap: 0
Horse: 13, Lane: 3, Position: 25, Lap: 0
Horse: 1, Lane: 8, Position: 29, Lap: 0
Horse: 9, Lane: 13, Position: 28, Lap: 0
Horse: 7, Lane: 7, Position: 28, Lap: 0
Horse: 17, Lane: 15, Position: 30, Lap: 0
Horse: 18, Lane: 12, Position: 30, Lap: 0
Horse: 10, Lane: 9, Position: 29, Lap: 0
Horse: 16, Lane: 3, Position: 29, Lap: 0
Horse: 6, Lane: 4, Position: 28, Lap: 0
Horse: 8, Lane: 3, Position: 26, Lap: 0
Horse: 2, Lane: 2, Position: 31, Lap: 0
Horse: 15, Lane: 11, Position: 34, Lap: 0
Horse: 3, Lane: 11, Position: 26, Lap: 0
Horse: 19, Lane: 2, Position: 28, Lap: 0
Horse: 0, Lane: 5, Position: 24, Lap: 0
Horse: 11, Lane: 9, Position: 32, Lap: 0
Horse: 12, Lane: 17, Position: 35, Lap: 0
Horse: 14, Lane: 10, Position: 34, Lap: 0
Horse: 4, Lane: 7, Position: 33, Lap: 0
Horse: 5, Lane: 8, Position: 26, Lap: 0
Horse: 13, Lane: 2, Position: 26, Lap: 0
Horse: 1, Lane: 8, Position: 31, Lap: 0
Horse: 9, Lane: 13, Position: 30, Lap: 0
Horse: 18, Lane: 13, Position: 31, Lap: 0
Horse: 2, Lane: 3, Position: 32, Lap: 0
Horse: 16, Lane: 4, Position: 30, Lap: 0
Horse: 10, Lane: 8, Position: 30, Lap: 0
Horse: 17, Lane: 15, Position: 32, Lap: 0
Horse: 7, Lane: 7, Position: 30, Lap: 0
Horse: 3, Lane: 11, Position: 28, Lap: 0
Horse: 19, Lane: 2, Position: 30, Lap: 0
Horse: 8, Lane: 2, Position: 27, Lap: 0
Horse: 0, Lane: 5, Position: 26, Lap: 0
Horse: 15, Lane: 11, Position: 36, Lap: 0
Horse: 11, Lane: 9, Position: 34, Lap: 0
Horse: 12, Lane: 18, Position: 36, Lap: 0
Horse: 14, Lane: 10, Position: 36, Lap: 0
Horse: 4, Lane: 7, Position: 35, Lap: 0
Horse: 5, Lane: 7, Position: 27, Lap: 0
Horse: 13, Lane: 3, Position: 27, Lap: 0
Horse: 1, Lane: 8, Position: 33, Lap: 0
Horse: 18, Lane: 13, Position: 33, Lap: 0
Horse: 9, Lane: 12, Position: 31, Lap: 0
Horse: 16, Lane: 3, Position: 31, Lap: 0
Horse: 2, Lane: 2, Position: 33, Lap: 0
Horse: 6, Lane: 4, Position: 30, Lap: 0
Horse: 17, Lane: 14, Position: 33, Lap: 0
Horse: 10, Lane: 8, Position: 32, Lap: 0
Horse: 3, Lane: 11, Position: 30, Lap: 0
Horse: 19, Lane: 1, Position: 31, Lap: 0
Horse: 8, Lane: 1, Position: 28, Lap: 0
Horse: 0, Lane: 6, Position: 27, Lap: 0
Horse: 11, Lane: 8, Position: 35, Lap: 0
Horse: 15, Lane: 10, Position: 37, Lap: 0
Horse: 7, Lane: 7, Position: 32, Lap: 0
Horse: 12, Lane: 19, Position: 37, Lap: 0
Horse: 14, Lane: 11, Position: 37, Lap: 0
Horse: 4, Lane: 8, Position: 36, Lap: 0
Horse: 5, Lane: 7, Position: 29, Lap: 0
Horse: 13, Lane: 4, Position: 28, Lap: 0
Horse: 1, Lane: 9, Position: 34, Lap: 0
Horse: 9, Lane: 13, Position: 32, Lap: 0
Horse: 18, Lane: 13, Position: 35, Lap: 0
Horse: 16, Lane: 4, Position: 32, Lap: 0
Horse: 17, Lane: 14, Position: 35, Lap: 0
Horse: 2, Lane: 2, Position: 35, Lap: 0
Horse: 3, Lane: 10, Position: 31, Lap: 0
Horse: 8, Lane: 1, Position: 30, Lap: 0
Horse: 19, Lane: 0, Position: 32, Lap: 0
Horse: 11, Lane: 9, Position: 36, Lap: 0
Horse: 0, Lane: 6, Position: 29, Lap: 0
Horse: 10, Lane: 8, Position: 34, Lap: 0
Horse: 15, Lane: 10, Position: 39, Lap: 0
Horse: 7, Lane: 8, Position: 33, Lap: 0
